keys,en,es,es_MX,ja,de,fr,it,pt
FUSION_BOLT_DESC,Drops a thunderbolt. Powers up if used after Fusion Flare.,Lanza un rayo. Se potencia si se usa después de Fusión Llameante.,Lanza un rayo. Se potencia si se usa después de Fusión Llameante.,電撃を落とす。フュージョンフレアの後に使うと威力が上がる。,Lässt einen Blitz fallen. Stärker wenn nach Fusionsflamme eingesetzt.,Lance un éclair. Plus puissant si utilisé après Fusion Flamme.,Lancia un fulmine. Più potente se usato dopo Fusione Fiamma.,Lança um raio. Potencializa-se se usado após Fusão Chameante.
FLYING_PRESS_DESC,Jumps onto the foe from above. Deals both Fighting- and Flying-type damage.,Salta sobre el rival desde arriba. Causa daño de tipo Lucha y Volador al mismo tiempo.,Salta sobre el rival desde arriba. Causa daño de tipo Lucha y Volador al mismo tiempo.,上空から飛び降りて相手にぶつかる。かくとうとひこうタイプの2種類のダメージを与える。,Springt von oben auf den Gegner. Verursacht Kampf- und Flug-Schaden gleichzeitig.,Saute sur le foe depuis les airs. Inflige des dégâts de type Combat et Vol simultanément.,Salta sul nemico dall'alto. Causa danni di tipo Lotta e Volante allo stesso tempo.,Salta sobre o adversário de cima. Causa dano do tipo Lutador e Voador ao mesmo tempo.
MAT_BLOCK_DESC,"Using a mat as a shield, protects allies from damaging moves for one turn. Only works on the first turn.",Usa una esterilla como escudo para proteger a los aliados de movimientos dañinos durante un turno. Solo funciona el primer turno.,Usa una esterilla como escudo para proteger a los aliados de movimientos dañinos durante un turno. Solo funciona el primer turno.,畳をひっくり返して盾にして、仲間のポケモンをダメージ技から守る。最初のターンだけ使える。,"Benutzt eine Matte als Schild, schützt Verbündete vor Schadenszügen einen Zug lang. Nur im ersten Zug.",Utilise un tatami comme bouclier pour protéger les alliés des mouvements dommageables un tour. Seulement au premier tour.,Usa un tatami come scudo per proteggere gli alleati dalle mosse dannose per un turno. Solo al primo turno.,Usa uma esteira como escudo para proteger aliados de movimentos danosos por um turno. Só no primeiro turno.
BELCH_DESC,Burps powerfully. The user must first eat a held Berry.,Eructa poderosamente. El usuario debe comer primero una Baya que porte.,Eructa poderosamente. El usuario debe comer primero una Baya que porte.,すごいげっぷで攻撃する。最初に持っているきのみを食べなければ使えない。,Rülpst kraftvoll. Der Anwender muss erst eine gehaltene Beere fressen.,Rote puissamment. L'utilisateur doit d'abord manger une Baie tenue.,Rutta potentemente. L'utente deve prima mangiare una Bacca tenuta.,Arrota poderosamente. O usuário deve primeiro comer uma Baga que carregue.
ROTOTILLER_DESC,Tills the earth to raise the Attack and Sp. Atk of Grass-type Pokémon.,Labra la tierra para subir el Ataque y Ataque Especial de los Pokémon de tipo Planta.,Labra la tierra para subir el Ataque y Ataque Especial de los Pokémon de tipo Planta.,田畑を耕して、フィールドにいるくさタイプのポケモンの攻撃と特攻を上げる。,Bearbeitet den Boden und erhöht Angriff und Sp. Angriff von Pflanzen-Pokémon.,Laboure la terre pour augmenter l'Attaque et l'Att. Spé. des Pokémon de type Plante.,Ara la terra per aumentare Attacco e Att. Spec. dei Pokémon di tipo Erba.,Lavra a terra para aumentar Ataque e At. Especial dos Pokémon do tipo Planta.
STICKY_WEB_DESC,Weaves a sticky web around the opposing side that lowers Speed of Pokémon switching in.,Teje una tela pegajosa en el lado adversario que baja la Velocidad de los Pokémon que cambian.,Teje una tela pegajosa en el lado adversario que baja la Velocidad de los Pokémon que cambian.,ねばねばした糸の網を張って、交代で出てきた相手の素早さを下げる。,"Webt ein klebriges Netz auf der Gegnerseite, das die Geschwindigkeit eingewechselter Pokémon senkt.",Tisse une toile collante du côté adverse qui réduit la Vitesse des Pokémon qui entrent.,Tesse una ragnatela appiccicosa sul lato avversario che abbassa la Velocità dei Pokémon in entrata.,Tece uma teia pegajosa no lado adversário que reduz a Velocidade dos Pokémon que entram.
FELL_STINGER_DESC,Stings the foe with a stinger. Raises the user's Attack if it KOs the target.,Pincha al rival con un aguijón. Sube drásticamente el Ataque del usuario si derrota al objetivo.,Pincha al rival con un aguijón. Sube drásticamente el Ataque del usuario si derrota al objetivo.,とどめを刺す勢いで相手を刺す。相手を倒すと攻撃が上がる。,Sticht den Gegner mit einem Stachel. Erhöht den Angriff des Anwenders wenn das Ziel besiegt wird.,Pique le foe avec un dard. Augmente fortement l'Attaque si le foe est vaincu.,Punge il nemico con un pungiglione. Aumenta drasticamente l'Attacco se il bersaglio viene sconfitto.,Pica o adversário com um ferrão. Aumenta drasticamente o Ataque do usuário se derrotar o alvo.
PHANTOM_FORCE_DESC,"Vanishes on turn 1, then strikes on turn 2. Breaks through Protect.",Desaparece en el turno 1 y golpea en el turno 2. Atraviesa Protección.,Desaparece en el turno 1 y golpea en el turno 2. Atraviesa Protección.,1ターン目に姿を消して2ターン目に攻撃する。まもるを貫通する。,"Verschwindet in Runde 1, schlägt in Runde 2 zu. Durchbricht Schutzschild.","Disparaît au tour 1, frappe au tour 2. Brise Protection.",Scompare al turno 1 e colpisce al turno 2. Rompe Protezione.,Desaparece no turno 1 e golpeia no turno 2. Atravessa Proteção.
TRICK_OR_TREAT_DESC,"Goes trick-or-treating, adding Ghost type to the foe.",Va de truco o trato añadiendo el tipo Fantasma al rival.,Va de truco o trato añadiendo el tipo Fantasma al rival.,いたずらをして相手にゴーストタイプを付加する。,Geht Süßes oder Saures und fügt dem Gegner den Geist-Typ hinzu.,Fait la ronde Bonbon ou Bâton en ajoutant le type Spectre au foe.,Va dolcetto o scherzetto aggiungendo il tipo Spettro al nemico.,Vai fazer truque ou doce adicionando o tipo Fantasma ao adversário.
NOBLE_ROAR_DESC,"Lets out a noble roar to intimidate the foe, lowering Attack and Sp. Atk.",Lanza un rugido noble para intimidar al rival bajando su Ataque y Ataque Especial.,Lanza un rugido noble para intimidar al rival bajando su Ataque y Ataque Especial.,気高い鳴き声を轟かせて相手の攻撃と特攻を下げる。,Lässt ein edles Brüllen los und senkt Angriff und Sp. Angriff des Gegners.,"Pousse un noble rugissement pour intimider le foe, réduisant son Attaque et Att. Spé.","Emette un ruggito nobile per intimidire il nemico, abbassandone Attacco e Att. Spec.","Solta um rugido nobre para intimidar o adversário, reduzindo Ataque e At. Especial."
ION_DELUGE_DESC,Disperses charged particles. Turns Normal-type moves into Electric-type this turn.,Dispersa partículas cargadas convirtiendo los movimientos Normal en tipo Eléctrico este turno.,Dispersa partículas cargadas convirtiendo los movimientos Normal en tipo Eléctrico este turno.,荷電粒子を散らしてこのターンのノーマルタイプの技をでんきタイプに変える。,Zerstreut geladene Teilchen und wandelt Normal-Attacken diesen Zug in Elektro-Typ um.,"Disperse des particules chargées, convertissant les mouvements Normal en type Électrik ce tour.","Disperde particelle cariche, convertendo le mosse Normal in tipo Elettro questo turno.",Dispersa partículas carregadas convertendo movimentos Normal em tipo Elétrico neste turno.
PARABOLIC_CHARGE_DESC,Charges with electricity. Drains HP from adjacent Pokémon.,Se carga con electricidad drenando PS de los Pokémon adyacentes.,Se carga con electricidad drenando PS de los Pokémon adyacentes.,電気で充電して周りのポケモンのHPを吸い取る。,Lädt mit Elektrizität auf und drainiert KP von benachbarten Pokémon.,Se charge avec de l'électricité en drainant les PV des Pokémon adjacents.,Si carica con elettricità drenando PS dai Pokémon adiacenti.,Carrega com eletricidade drenando PS dos Pokémon adjacentes.
FOREST_S_CURSE_DESC,"Lays a forest curse on the foe, adding Grass type.",Lanza una maldición del bosque sobre el rival añadiendo el tipo Planta.,Lanza una maldición del bosque sobre el rival añadiendo el tipo Planta.,森の呪いをかけて相手にくさタイプを付加する。,Legt einen Waldfluch auf den Gegner und fügt den Pflanzen-Typ hinzu.,Lance une malédiction forestière sur le foe en ajoutant le type Plante.,Lancia una maledizione della foresta aggiungendo il tipo Erba al nemico.,Lança uma maldição da floresta sobre o adversário adicionando o tipo Planta.
PETAL_BLIZZARD_DESC,Stirs up a violent petal blizzard that hits all adjacent Pokémon.,Agita una tormenta violenta de pétalos que golpea a todos los Pokémon adyacentes.,Agita una tormenta violenta de pétalos que golpea a todos los Pokémon adyacentes.,激しい花びら吹雪を起こして周りの全員を攻撃する。,"Wirbelt einen heftigen Blütensturm auf, der alle benachbarten Pokémon trifft.",Agite une tempête violente de pétales frappant tous les Pokémon adjacents.,Agita una bufera violenta di petali che colpisce tutti i Pokémon adiacenti.,Agita uma tempestade violenta de pétalas que atinge todos os Pokémon adjacentes.
FREEZE_DRY_DESC,Super-effective against Water. May freeze the foe.,Súper efectivo contra el tipo Agua. Puede congelar al rival.,Súper efectivo contra el tipo Agua. Puede congelar al rival.,みずタイプに効果抜群。こおり状態にすることがある。,Super effektiv gegen Wasser-Typen. Kann einfrieren.,Super efficace contre les types Eau. Peut congeler le foe.,Super efficace contro i tipo Acqua. Può congelare il nemico.,Super efetivo contra o tipo Água. Pode congelar o adversário.
DISARMING_VOICE_DESC,Lets out a charming cry that never misses and lowers the foe's will to fight.,Emite un encantador grito que nunca falla y baja la voluntad del rival de luchar.,Emite un encantador grito que nunca falla y baja la voluntad del rival de luchar.,かわいい鳴き声で相手を攻撃する。必ず命中する。,"Emittiert einen charmanten Schrei, der nie verfehlt und den Kampfwillen des Gegners senkt.",Émet un cri charmeur qui ne rate jamais et réduit la volonté de combattre du foe.,Emette un grido affascinante che non manca mai e abbassa la voglia di combattere del nemico.,Emite um grito encantador que nunca erra e reduz a vontade de lutar do adversário.
PARTING_SHOT_DESC,"Lowers the foe's Attack and Sp. Atk, then switches the user out.","Baja el Ataque y el Ataque Especial del rival, luego cambia al usuario.","Baja el Ataque y el Ataque Especial del rival, luego cambia al usuario.",啖呵を切って相手の攻撃と特攻を下げてから交代する。,Senkt Angriff und Sp. Angriff des Gegners und wechselt dann aus.,"Réduit l'Attaque et Att. Spé. du foe, puis change l'utilisateur.","Abbassa Attacco e Att. Spec. del nemico, poi cambia l'utente.","Reduz Ataque e At. Especial do adversário, depois o usuário sai de campo."
TOPSY_TURVY_DESC,Reverses all the target's stat changes so boosts become drops and vice versa.,Invierte todos los cambios de estadísticas del objetivo convirtiendo mejoras en penalizaciones.,Invierte todos los cambios de estadísticas del objetivo convirtiendo mejoras en penalizaciones.,相手の能力変化を全て逆にする。上がっていれば下がり、下がっていれば上がる。,"Kehrt alle Statusveränderungen des Ziels um, Boosts werden zu Absenkungen und umgekehrt.","Inverse tous les changements de stats de la cible, transformant les hausses en baisses.","Inverte tutti i cambiamenti di statistiche del bersaglio, trasformando bonus in malus.","Inverte todas as alterações de estatísticas do alvo, convertendo melhorias em penalidades."
DRAINING_KISS_DESC,Steals HP with an affectionate kiss. Restores more HP than the damage dealt.,Roba PS al rival con un beso afectuoso. Recupera más PS de los que causa en daño.,Roba PS al rival con un beso afectuoso. Recupera más PS de los que causa en daño.,愛情のこもったキスで相手のHPを吸い取る。与えたダメージより多くHPを回復する。,Stiehlt KP mit einem zärtlichen Kuss. Stellt mehr KP wieder her als Schaden verursacht wird.,Vole des PV avec un baiser affectueux. Récupère plus de PV que les dégâts infligés.,Ruba PS con un bacio affettuoso. Recupera più PS dei danni causati.,Rouba PS com um beijo afetivo. Recupera mais PS do que o dano causado.
CRAFTY_SHIELD_DESC,Protects the user and allies from status moves for one turn. Does not protect from attacking moves.,Protege al usuario y sus aliados de movimientos de estado durante un turno. No protege de ataques.,Protege al usuario y sus aliados de movimientos de estado durante un turno. No protege de ataques.,自分と仲間のポケモンを変化技から守る。ダメージ技は防げない。,Schützt den Anwender und Verbündete vor Statuszügen einen Zug lang. Nicht vor Angriffszügen.,Protège l'utilisateur et les alliés des mouvements de statut un tour. Pas des mouvements offensifs.,Protegge l'utente e gli alleati dalle mosse di stato per un turno. Non protegge dagli attacchi.,Protege o usuário e aliados de movimentos de estado por um turno. Não protege de ataques.
FLOWER_SHIELD_DESC,Creates a mystical shield that raises Defense of all Grass types on the field.,Crea un escudo místico que sube la Defensa de todos los Pokémon de tipo Planta en el campo.,Crea un escudo místico que sube la Defensa de todos los Pokémon de tipo Planta en el campo.,不思議な盾を作ってフィールドにいる全てのくさタイプのポケモンの防御を上げる。,"Erschafft einen mystischen Schild, der die Verteidigung aller Pflanzen-Pokémon erhöht.",Crée un bouclier mystique augmentant la Défense de tous les Pokémon de type Plante.,Crea uno scudo mistico che aumenta la Difesa di tutti i Pokémon di tipo Erba in campo.,Cria um escudo místico que aumenta a Defesa de todos os Pokémon do tipo Planta em campo.
GRASSY_TERRAIN_DESC,"Covers the field in grass for 5 turns, restoring HP of grounded Pokémon and boosting Grass moves.",Cubre el campo de hierba durante 5 turnos restaurando PS de Pokémon en suelo y potenciando movimientos Planta.,Cubre el campo de hierba durante 5 turnos restaurando PS de Pokémon en suelo y potenciando movimientos Planta.,5ターンの間草原にして、地面にいるポケモンのHPを毎ターン回復させ、くさタイプの技を強化する。,"Bedeckt das Feld 5 Runden mit Gras, heilt am Boden befindliche Pokémon und stärkt Pflanzen-Attacken.","Couvre le terrain d'herbe 5 tours, restaurant les PV des Pokémon au sol et boostant les mouvements Plante.","Copre il campo di erba per 5 turni, recuperando PS dei Pokémon a terra e potenziando le mosse Erba.","Cobre o campo de erva por 5 turnos, restaurando PS dos Pokémon no chão e potencializando movimentos Planta."
MISTY_TERRAIN_DESC,"Covers the field in mist for 5 turns, preventing status conditions for grounded Pokémon.",Cubre el campo de niebla durante 5 turnos previniendo alteraciones de estado en Pokémon en suelo.,Cubre el campo de niebla durante 5 turnos previniendo alteraciones de estado en Pokémon en suelo.,5ターンの間霧に包まれた地形にして、地面にいるポケモンを状態異常から守る。,Bedeckt das Feld 5 Runden mit Nebel und verhindert Statusproblem für Bodenpokémon.,"Couvre le terrain de brume 5 tours, empêchant les problèmes de statut des Pokémon au sol.","Copre il campo di nebbia per 5 turni, prevenendo alterazioni di stato per i Pokémon a terra.","Cobre o campo de névoa por 5 turnos, prevenindo condições de estado para Pokémon no chão."
ELECTRIFY_DESC,"Electrifies the foe's move, making it Electric-type this turn.",Electrifica el movimiento del rival convirtiendo su tipo a Eléctrico este turno.,Electrifica el movimiento del rival convirtiendo su tipo a Eléctrico este turno.,相手の使おうとしている技をでんきタイプに変えてしまう。,Elektrifiziert den Zug des Gegners und wandelt seinen Typ diesen Zug in Elektro um.,"Électrifie le mouvement du foe, en convertissant son type en Électrik ce tour.",Elettrifica la mossa del nemico convertendone il tipo in Elettro questo turno.,Eletrifica o movimento do adversário convertendo seu tipo para Elétrico neste turno.
PLAY_ROUGH_DESC,Plays rough with the foe. May lower Attack.,Juega brusco con el rival para atacar. Puede bajar el Ataque del rival.,Juega brusco con el rival para atacar. Puede bajar el Ataque del rival.,じゃれながら相手を攻撃する。相手の攻撃を下げることがある。,Spielt rau mit dem Gegner. Kann den Angriff des Gegners senken.,Joue brutalement avec le foe pour attaquer. Peut réduire l'Attaque du foe.,Gioca in modo brusco con il nemico. Può abbassarne l'Attacco.,Joga bruscamente com o adversário. Pode reduzir o Ataque do adversário.
FAIRY_WIND_DESC,Stirs up a fairy wind to strike the foe.,Agita un viento feérico para golpear al rival.,Agita un viento feérico para golpear al rival.,妖精の風を起こして相手を攻撃する。,"Wirbelt einen Feenwind auf, um den Gegner zu treffen.",Agite un vent féérique pour frapper le foe.,Agita un vento fatato per colpire il nemico.,Agita um vento fada para golpear o adversário.
MOONBLAST_DESC,Attacks with the power of the moon. May lower Sp. Atk.,Ataca con el poder de la luna. Puede bajar el Ataque Especial del rival.,Ataca con el poder de la luna. Puede bajar el Ataque Especial del rival.,月の力を借りて相手を攻撃する。相手の特攻を下げることがある。,Greift mit der Kraft des Mondes an. Kann den Sp. Angriff des Gegners senken.,Attaque avec la puissance de la lune. Peut réduire l'Att. Spé. du foe.,Attacca con il potere della luna. Può abbassare l'Att. Spec. del nemico.,Ataca com o poder da lua. Pode reduzir o At. Especial do adversário.
BOOMBURST_DESC,Attacks with an enormous destructive sound wave. Hits all adjacent Pokémon.,Ataca con una onda sonora destructiva enorme. Golpea a todos los Pokémon adyacentes.,Ataca con una onda sonora destructiva enorme. Golpea a todos los Pokémon adyacentes.,すさまじい爆音の波動で周りにいる全員を攻撃する。,Greift mit einer riesigen destruktiven Schallwelle an. Trifft alle benachbarten Pokémon.,Attaque avec une énorme onde sonore destructrice. Frappe tous les Pokémon adjacents.,Attacca con un'enorme onda sonora distruttiva. Colpisce tutti i Pokémon adiacenti.,Ataca com uma enorme onda sonora destrutiva. Atinge todos os Pokémon adjacentes.
FAIRY_LOCK_DESC,"Locks down the battlefield, preventing escape on the next turn.",Bloquea el campo impidiendo escapar en el turno siguiente.,Bloquea el campo impidiendo escapar en el turno siguiente.,不思議な力で場をロックして、次のターンは全員が逃げたり交代したりできなくなる。,Sperrt das Feld und verhindert das Fliehen im nächsten Zug.,"Verrouille le terrain, empêchant toute fuite au tour suivant.",Blocca il campo impedendo a tutti di fuggire al prossimo turno.,Bloqueia o campo impedindo a fuga no próximo turno.
KING_S_SHIELD_DESC,Protects the user and lowers Attack of foes that make direct contact.,Protege al usuario y baja el Ataque de los rivales que hacen contacto directo.,Protege al usuario y baja el Ataque de los rivales que hacen contacto directo.,自分を守り、直接攻撃してきた相手の攻撃を下げる。,"Schützt den Anwender und senkt den Angriff von Gegnern, die direkten Kontakt machen.",Protège l'utilisateur et réduit l'Attaque des foes qui font contact direct.,Protegge l'utente e abbassa l'Attacco dei nemici che fanno contatto diretto.,Protege o usuário e reduz o Ataque dos adversários que fazem contato direto.
PLAY_NICE_DESC,Befriends the foe to lower its Attack without fail.,Se hace amable con el rival bajando su Ataque sin fallo.,Se hace amable con el rival bajando su Ataque sin fallo.,仲良くして、相手の攻撃を確実に下げる。,Freundet sich mit dem Gegner an und senkt immer dessen Angriff.,"Se lie d'amitié avec le foe, réduisant son Attaque sans faute.",Si fa amico del nemico abbassandone l'Attacco senza fallire.,Torna-se amigável com o adversário reduzindo seu Ataque sem falhar.
CONFIDE_DESC,Shares a secret with the foe to lower its Sp. Atk.,Comparte un secreto con el rival para bajar su Ataque Especial.,Comparte un secreto con el rival para bajar su Ataque Especial.,内緒話をして相手の特攻を下げる。,Vertraut dem Gegner ein Geheimnis an und senkt seinen Sp. Angriff.,Confie un secret au foe pour réduire son Att. Spé.,Condivide un segreto col nemico per abbassarne l'Att. Spec.,Compartilha um segredo com o adversário para reduzir seu At. Especial.
DIAMOND_STORM_DESC,Whips up a storm of diamonds. May raise Defense.,Desata una tormenta de diamantes. Puede subir la Defensa del usuario.,Desata una tormenta de diamantes. Puede subir la Defensa del usuario.,ダイヤモンドの嵐を起こして攻撃する。自分の防御が上がることがある。,Entfesselt einen Diamantsturm. Kann die Verteidigung des Anwenders erhöhen.,Déchaîne une tempête de diamants. Peut augmenter la Défense de l'utilisateur.,Scatena una tempesta di diamanti. Può aumentare la Difesa dell'utente.,Desencadeia uma tempestade de diamantes. Pode aumentar a Defesa do usuário.
STEAM_ERUPTION_DESC,Immerses the foe in superheated steam. May burn.,Sumerge al rival en vapor sobrecalentado. Puede quemar.,Sumerge al rival en vapor sobrecalentado. Puede quemar.,超高温の蒸気で相手を包む。やけど状態にすることがある。,Taucht den Gegner in überhitzten Dampf. Kann verbrennen.,Immerge le foe dans de la vapeur surchauffée. Peut brûler.,Immerge il nemico in vapore surriscaldato. Può scottare.,Mergulha o adversário em vapor superaquecido. Pode queimar.
HYPERSPACE_HOLE_DESC,Uses a hyperspace hole to attack ignoring Protect or Detect.,Usa un agujero de hiperespacio para atacar ignorando Protección o Detección.,Usa un agujero de hiperespacio para atacar ignorando Protección o Detección.,超空間の穴を使って攻撃する。まもるやみきりを無視する。,Verwendet ein Hyperraumloch zum Angreifen und ignoriert Schutzschild/Detektion.,Utilise un trou hyperespace pour attaquer en ignorant Protection ou Détection.,Usa un buco nell'iperspazio per attaccare ignorando Protezione e Detezione.,Usa um buraco no hiperespaço para atacar ignorando Proteção ou Detecção.
WATER_SHURIKEN_DESC,Throws water shurikens 2 to 5 times. Always strikes first.,Lanza shurikens de agua de 2 a 5 veces. Siempre actúa primero.,Lanza shurikens de agua de 2 a 5 veces. Siempre actúa primero.,水で作った手裏剣を2〜5回投げる。必ず先制できる。,Wirft 2 bis 5 Wassershuriken. Handelt immer zuerst.,Lance des shuriken d'eau de 2 à 5 fois. Frappe toujours en premier.,Lancia shuriken d'acqua da 2 a 5 volte. Agisce sempre per primo.,Lança shurikens de água de 2 a 5 vezes. Sempre age primeiro.
MYSTICAL_FIRE_DESC,Breathes a special fire. Always lowers the foe's Sp. Atk.,Lanza un fuego especial que siempre baja el Ataque Especial del rival.,Lanza un fuego especial que siempre baja el Ataque Especial del rival.,特殊な炎を吐き出して攻撃する。必ず相手の特攻を下げる。,Schleudert magisches Feuer. Senkt immer den Sp. Angriff des Gegners.,Lance un feu spécial qui réduit toujours l'Att. Spé. du foe.,Lancia un fuoco speciale che abbassa sempre l'Att. Spec. del nemico.,Lança um fogo especial que sempre reduz o At. Especial do adversário.
SPIKY_SHIELD_DESC,Protects the user and damages any foe that makes direct contact.,Protege al usuario y daña a cualquier rival que haga contacto directo.,Protege al usuario y daña a cualquier rival que haga contacto directo.,自分を守り、直接攻撃してきた相手にダメージを与える。,"Schützt den Anwender und schadet Gegnern, die direkten Kontakt machen.",Protège l'utilisateur et blesse les foes qui font contact direct.,Protegge l'utente e danneggia i nemici che fanno contatto diretto.,Protege o usuário e danifica qualquer adversário que faça contato direto.
AROMATIC_MIST_DESC,Creates a sweet-scented mist that raises an ally's Sp. Def.,Crea una niebla de aroma dulce que sube la Def. Especial de un aliado.,Crea una niebla de aroma dulce que sube la Def. Especial de un aliado.,甘いかおりの霧を発生させて仲間の特防を上げる。,"Erzeugt einen süßen Aromadunst, der die Sp. Verteidigung eines Verbündeten erhöht.",Crée une brume parfumée qui augmente la Déf. Spé. d'un allié.,Crea una nebbia profumata che aumenta la Dif. Spec. di un alleato.,Cria uma névoa aromática que aumenta a Def. Especial de um aliado.
EERIE_IMPULSE_DESC,"Exposes the foe to an eerie impulse, sharply lowering Sp. Atk.",Expone al rival a un impulso inquietante bajando drásticamente su Ataque Especial.,Expone al rival a un impulso inquietante bajando drásticamente su Ataque Especial.,体に電気の波動を浴びせて、相手の特攻をぐーんと下げる。,Setzt den Gegner einem unheimlichen Impuls aus und senkt seinen Sp. Angriff stark.,"Expose le foe à une impulsion inquiétante, réduisant fortement son Att. Spé.",Espone il nemico a un impulso inquietante abbassando drasticamente l'Att. Spec.,Expõe o adversário a um impulso inquietante reduzindo drasticamente seu At. Especial.
VENOM_DRENCH_DESC,"Showers a poisoned foe with liquid poison, lowering Attack, Sp. Atk, and Speed.","Empapa a un rival envenenado en veneno líquido bajando su Ataque, At. Especial y Velocidad.","Empapa a un rival envenenado en veneno líquido bajando su Ataque, At. Especial y Velocidad.",どく状態の相手に毒液を浴びせて攻撃・特攻・素早さを下げる。,"Tränkt einen vergifteten Gegner in Giftflüssigkeit und senkt Angriff, Sp. Angriff und Geschwindigkeit.","Asperge un foe empoisonné de venin liquide, réduisant Attaque, Att. Spé. et Vitesse.","Inzuppa un nemico avvelenato in veleno liquido abbassando Attacco, Att. Spec. e Velocità.","Embebe um adversário envenenado em veneno líquido, reduzindo Ataque, At. Especial e Velocidade."
POWDER_DESC,Scatters a powder that causes an explosion if the foe uses a Fire-type move.,Esparce un polvo que provoca una explosión si el rival usa un movimiento de tipo Fuego.,Esparce un polvo que provoca una explosión si el rival usa un movimiento de tipo Fuego.,相手に粉を振りかけて、相手がほのおタイプの技を使ったときに爆発させる。,"Streut Pulver, das explodiert wenn der Gegner eine Feuer-Attacke einsetzt.",Éparpille une poudre qui explose si le foe utilise un mouvement Feu.,Sparge una polvere che esplode se il nemico usa una mossa Fuoco.,Espalha um pó que provoca uma explosão se o adversário usar um movimento de Fogo.
GEOMANCY_DESC,"Absorbs energy from the earth, then sharply raises Sp. Atk, Sp. Def, and Speed on the next turn.","Absorbe energía de la tierra y sube drásticamente el At. Especial, Def. Especial y Velocidad en el siguiente turno.","Absorbe energía de la tierra y sube drásticamente el At. Especial, Def. Especial y Velocidad en el siguiente turno.",1ターン目に大地のエネルギーを吸収して、2ターン目に特攻・特防・素早さをぐーんと上げる。,"Absorbiert Erdenergie und erhöht im nächsten Zug Sp. Angriff, Sp. Verteidigung und Geschwindigkeit stark.","Absorbe l'énergie terrestre et augmente fortement Att. Spé., Déf. Spé. et Vitesse au tour suivant.","Assorbe energia terrestre e aumenta drasticamente Att. Spec., Dif. Spec. e Velocità al prossimo turno.","Absorve energia da terra e aumenta drasticamente At. Especial, Def. Especial e Velocidade no próximo turno."
MAGNETIC_FLUX_DESC,Boosts the Defense and Sp. Def of allies with the Plus or Minus ability.,Potencia la Defensa y la Def. Especial de los aliados con las habilidades Más o Menos.,Potencia la Defensa y la Def. Especial de los aliados con las habilidades Más o Menos.,プラスやマイナスの特性を持つ仲間の防御と特防を上げる。,Steigert Verteidigung und Sp. Verteidigung von Verbündeten mit Plus- oder Minusfähigkeit.,Booste la Défense et Déf. Spé. des alliés ayant la capacité Plus ou Moins.,Potenzia Difesa e Dif. Spec. degli alleati con l'abilità Più o Meno.,Potencializa Defesa e Def. Especial dos aliados com as habilidades Mais ou Menos.
HAPPY_HOUR_DESC,Doubles the prize money earned if the user wins the battle.,Duplica el dinero ganado si el usuario gana el combate.,Duplica el dinero ganado si el usuario gana el combate.,バトルに勝ったときに入手するお金が2倍になる。,Verdoppelt das verdiente Preisgeld wenn der Anwender gewinnt.,Double l'argent gagné si l'utilisateur remporte le combat.,Raddoppia il denaro guadagnato se l'utente vince la battaglia.,Dobra o dinheiro ganho se o usuário vencer a batalha.
ELECTRIC_TERRAIN_DESC,"Electrifies the field for 5 turns, boosting Electric moves and preventing sleep.",Electrifica el campo durante 5 turnos potenciando los movimientos Eléctrico e impidiendo dormir.,Electrifica el campo durante 5 turnos potenciando los movimientos Eléctrico e impidiendo dormir.,5ターンの間、電気を帯びた地形にして電気タイプの技を強化し、眠り状態を防ぐ。,"Elektrifiziert das Feld 5 Runden, stärkt Elektro-Attacken und verhindert Schlafen.","Électrifie le terrain 5 tours, boostant les mouvements Électrik et empêchant le sommeil.","Elettrifica il campo per 5 turni, potenziando le mosse Elettro e impedendo il sonno.","Eletrifica o campo por 5 turnos, potencializando movimentos Elétrico e impedindo o sono."
DAZZLING_GLEAM_DESC,Fires a blast of dazzling fairy light that hits all adjacent foes.,Dispara un brillante rayo de luz feérica que golpea a todos los rivales adyacentes.,Dispara un brillante rayo de luz feérica que golpea a todos los rivales adyacentes.,強い光を放って周りにいる相手全員を攻撃する。,Feuert einen strahlenden Feenlichtstrahl auf alle benachbarten Gegner.,Tire un rayon de lumière féérique éblouissant sur tous les foes adjacents.,Spara un brillante raggio di luce fatata che colpisce tutti i nemici adiacenti.,Dispara um brilhante raio de luz feérica que atinge todos os adversários adjacentes.
CELEBRATE_DESC,Congratulates the Trainer on a special occasion.,¡El Pokémon felicita al Entrenador por alguna ocasión especial!,¡El Pokémon felicita al Entrenador por alguna ocasión especial!,ポケモンがトレーナーの特別な日をお祝いする。,Das Pokémon beglückwünscht den Trainer zu einem besonderen Anlass.,Le Pokémon félicite le Dresseur pour une occasion spéciale.,Il Pokémon festeggia il suo Allenatore per un'occasione speciale.,O Pokémon felicita o Treinador por alguma ocasião especial.
HOLD_HANDS_DESC,"The user and an ally hold hands, making both very happy.",El usuario y un aliado se dan la mano haciéndose muy felices.,El usuario y un aliado se dan la mano haciéndose muy felices.,自分と仲間のポケモンが手をつないで、とても幸せな気持ちになる。,Der Anwender und ein Verbündeter halten Händchen und werden sehr glücklich.,"L'utilisateur et un allié se tiennent la main, se rendant très heureux.",L'utente e un alleato si tengono per mano rendendosi molto felici.,O usuário e um aliado dão as mãos ficando muito felizes.
